Date,Nom de l'entraînement,Durée,Nom de l'exercice,Ordre de la série,Poids,Réps,Distance,Secondes,RPE
2026-04-24 21:06:47,"Entraînement du midi",34min,"Seated Row (Cable)",2,36.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Seated Row (Cable)",3,41.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Seated Row (Cable)",4,45.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Seated Row (Cable)",5,50.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Chest Press (Machine)",3,45.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Chest Press (Machine)",4,50.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Chest Press (Machine)",5,36.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Cable)",1,18.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Cable)",2,23.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Cable)",3,29.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Cable)",4,36.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Cable)",5,43.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Triceps Extension",1,6.8,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Triceps Extension",2,11.3,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Triceps Extension",3,13.6,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Triceps Extension",4,15.9,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Triceps Extension",5,18.1,6.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Triceps Extension",6,11.3,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Machine)",1,18.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Machine)",2,27.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Machine)",3,36.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Machine)",4,45.0,10.0,0,0.0,
2026-04-24 21:06:47,"Entraînement du midi",34min,"Lat Pulldown (Machine)",5,54.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Pec Deck (Machine)",1,41.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Pec Deck (Machine)",3,54.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Pec Deck (Machine)",4,63.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Pec Deck (Machine)",5,72.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Seated Row (Cable)",1,27.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Seated Row (Cable)",2,32.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Seated Row (Cable)",3,36.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Seated Row (Cable)",4,41.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Seated Row (Cable)",5,45.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Chest Press (Machine)",1,41.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Chest Press (Machine)",2,45.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Chest Press (Machine)",3,50.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Chest Press (Machine)",4,45.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Chest Press (Machine)",5,41.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Triceps Extension",1,6.8,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Triceps Extension",2,9.1,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Triceps Extension",3,11.3,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Triceps Extension",4,13.6,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Triceps Extension",5,15.9,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Lat Pulldown (Machine)",1,18.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Lat Pulldown (Machine)",2,27.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Lat Pulldown (Machine)",3,36.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Lat Pulldown (Machine)",4,45.0,10.0,0,0.0,
2026-04-26 21:33:00,"Entraînement du midi",26min,"Lat Pulldown (Machine)",5,54.0,10.0,0,0.0,
2026-04-28 12:05:21,"Entraînement du midi",25min,"Pec Deck (Machine)",1,41.0,10.0,0,0.0,
2026-04-28 12:05:21,"Entraînement du midi",25min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-28 12:05:21,"Entraînement du midi",25min,"Pec Deck (Machine)",3,54.0,10.0,0,0.0,
